,resident,tourist_trips,tourist_income,tourist_trips_avg,tourist_income_avg,gdp,gdp_per_capita,village_avg_money,year,cityname
0,225.82,109.31,1.84,0.48,81.48,198.44亿,8787.53,20151.0,2014,和田地区
1,232.43,80.0,3.55,0.34,152.73,233.86亿,10061.52,22468.0,2015,和田地区
2,244.98,122.5,19.6,0.5,800.07,236.33亿,9646.91,24466.0,2016,和田地区
3,252.28,140.87,22.91,0.56,908.12,268.26亿,10633.42,26496.0,2017,和田地区
4,253.05,213.26,,0.84,,305.57亿,12075.48,28610.0,2018,和田地区
5,317.55,1934.55,204.0,6.09,6424.19,920.83亿,28997.95,10730.0,2014,西藏
6,323.97,2072.72,281.92,6.4,8702.04,1026.39亿,31681.64,12254.0,2015,西藏
7,330.54,1555.34,330.75,4.71,10006.35,1150.07亿,34793.67,13639.0,2016,西藏
8,337.15,2561.43,379.37,7.6,11252.26,1310.63亿,38873.8,15457.0,2017,西藏
9,343.82,3368.73,490.14,9.8,14255.72,1477.63亿,42976.85,17286.0,2018,西藏
