,resident,tourist_trips,tourist_income,tourist_trips_avg,tourist_income_avg,gdp,gdp_per_capita,village_avg_money,year,cityname
46,20.02,36.5,2.2,1.82,1099.77,356648万,17816.81,10739.0,2015,果洛藏族自治州
47,20.39,45.91,3.1,2.25,1522.28,364810.13万,17887.23,11787.0,2016,果洛藏族自治州
48,20.57,55.38,4.02,2.69,1954.68,372690万,18121.66,13036.0,2017,果洛藏族自治州
49,20.84,32.6,2.35,1.56,1126.43,414496万,19889.44,14557.0,2018,果洛藏族自治州
50,40.46,30.17,1.6,0.75,395.42,56.49亿,13960.7,23347.0,2014,玉树藏族自治州
51,39.19,50.68,2.53,1.29,645.65,60.55亿,15452.22,12315.43,2015,玉树藏族自治州
52,40.37,65.9,4.28,1.63,1060.31,61.68亿,15280.34,13513.42,2016,玉树藏族自治州
53,15.01,88.49,5.75,5.9,3830.78,64.38亿,42891.41,14962.04,2017,玉树藏族自治州
54,41.66,111.7,7.3,2.68,1752.28,53.61亿,12868.49,16432.0,2018,玉树藏族自治州
55,253.05,255.11,15.52,1.01,613.32,1156.7亿,45710.33,21553.0,2014,阿克苏地区
56,284.85,251.57,16.1,0.88,565.21,1199.9亿,42123.92,23987.0,2015,阿克苏地区
57,250.83,313.08,18.18,1.25,724.79,792.7亿,31603.08,26098.0,2016,阿克苏地区
58,254.6,408.14,20.0,1.6,785.55,921.11亿,36178.71,28211.0,2017,阿克苏地区
59,256.17,2676.0,38.9,10.45,1518.54,1027.4亿,40106.59,30637.0,2018,阿克苏地区
60,59.64,94.84,2.46,1.59,412.49,90.32亿,15144.71,19480.0,2014,克孜勒苏柯尔克孜自治州
61,59.61,116.18,3.07,1.95,515.05,101.50亿,17028.37,22465.0,2015,克孜勒苏柯尔克孜自治州
62,60.29,140.22,3.72,2.33,617.02,100.33亿,16641.32,24488.0,2016,克孜勒苏柯尔克孜自治州
63,62.06,170.15,4.75,2.74,765.4,112.12亿,18066.65,6524.0,2017,克孜勒苏柯尔克孜自治州
64,0.0,240.66,9.2,401100.0,153333333.33,128.89亿,2148166666.67,28452.0,2018,克孜勒苏柯尔克孜自治州
65,448.82,358.86,27.5,0.8,612.72,688亿,15329.09,17310.0,2014,喀什地区
66,449.92,410.0,35.16,0.91,781.47,780亿,17336.42,20662.0,2015,喀什地区
67,451.47,492.0,39.18,1.09,867.83,759.8亿,16829.47,22732.0,2016,喀什地区
68,464.97,600.0,54.0,1.29,1161.37,848.2亿,18242.04,24103.0,2017,喀什地区
69,120.14,928.37,90.16,7.73,7504.58,890.12亿,74090.23,25631.0,2018,喀什地区
