,resident,tourist_trips,tourist_income,tourist_trips_avg,tourist_income_avg,gdp,gdp_per_capita,village_avg_money,year,cityname
0,92.03,2876.17,242.74,31.25,26376.18,247.79亿,26924.92,25150.0,2014,阿坝州
1,93.01,3230.57,285.09,34.73,30651.54,265.04亿,28495.86,25939.0,2015,阿坝州
2,93.46,3761.49,318.44,40.25,34072.37,281.32亿,30100.61,28048.0,2016,阿坝州
3,94.01,2909.58,235.72,30.95,25073.93,295.16亿,31396.66,30264.0,2017,阿坝州
4,94.4,2369.47,166.71,25.1,17659.96,306.67亿,32486.23,32686.0,2018,阿坝州
5,114.79,802.42,80.3,6.99,6995.38,206.81亿,18016.38,23303.0,2014,甘孜州
6,116.49,1076.18,107.5,9.24,9228.26,213.04亿,18288.27,24978.0,2015,甘孜州
7,118.05,1300.32,133.74,11.01,11329.1,229.8亿,19466.33,14134.0,2016,甘孜州
8,118.63,1668.0,166.0,14.06,13993.09,261.5亿,22043.33,15560.0,2017,甘孜州
9,119.6,2230.0,222.5,18.65,18603.68,291.2亿,24347.83,17049.0,2018,甘孜州
10,511.78,3165.6,189.0,6.19,3692.99,1314.3亿,25680.96,23609.0,2014,凉山州
11,511.78,3729.51,251.66,7.29,4917.35,1314.84亿,25691.51,14031.0,2015,凉山州
12,512.36,4081.12,301.62,7.97,5886.88,1403.92亿,27401.05,25963.0,2016,凉山州
13,521.29,4419.22,361.08,8.48,6926.66,1480.91亿,28408.56,28170.0,2017,凉山州
14,529.94,4651.14,436.67,8.78,8239.99,1533.19亿,28931.39,30421.0,2018,凉山州
15,1.59,253.28,21.13,158.94,132592.87,100.12亿,628263.05,17266.0,2014,怒江州
16,1.85,263.2,26.1,141.96,140776.7,113.45亿,611920.17,19010.0,2015,怒江州
17,2.1,312.21,36.3,149.03,173269.69,126.46亿,603627.68,20721.0,2016,怒江州
18,2.33,383.96,47.48,164.87,203873.07,141.5亿,607582.98,22648.0,2017,怒江州
19,2.59,414.57,55.54,159.82,214109.48,161.56亿,622821.9,24558.0,2018,怒江州
20,40.7,1440.89,129.6,35.4,31842.49,1472078万,36168.99,5865.0,2014,迪庆藏族自治州
21,40.8,1758.07,160.34,43.09,39298.81,1611387万,39494.78,6487.0,2015,迪庆藏族自治州
22,41.0,1975.72,187.77,48.19,45797.49,1805843万,44044.95,7088.0,2016,迪庆藏族自治州
23,41.2,2676.89,298.86,64.97,72538.6,1986517万,48216.43,7776.0,2017,迪庆藏族自治州
24,41.4,2410.2,275.0,58.22,66425.43,2175236万,52541.93,8524.0,2018,迪庆藏族自治州
25,36.11,278.4,11.9,7.71,3295.67,126.53亿,35042.1,25894.0,2016,山南市
26,36.81,348.0,14.19,9.45,3854.93,145.83亿,39616.95,28535.0,2017,山南市
27,218.38,2865.0,30.71,13.12,1406.26,186.05亿,8519.55,13778.0,2014,临夏州
28,204.41,3641.0,70.3,17.81,3439.17,238.84亿,11684.36,19380.2,2017,临夏州
29,205.88,3750.0,96.39,18.21,4681.85,255.35亿,12402.86,20834.0,2018,临夏州
30,70.18,501.2,22.58,7.14,3217.44,114.92亿,16375.04,16421.0,2014,甘南州
31,70.5,770.02,34.03,10.92,4826.95,126.54亿,17948.94,19656.0,2015,甘南州
32,71.02,1003.15,46.78,14.12,6586.88,135.95亿,19142.5,21327.0,2016,甘南州
33,71.62,1105.6,51.5,15.44,7190.73,136.59亿,19071.49,23012.0,2017,甘南州
34,72.02,1217.2,57.04,16.9,7920.02,155.73亿,21623.16,24783.0,2018,甘南州
35,26.65,301.5,8.69,11.31,3260.29,68.83亿,25823.42,22645.35,2014,黄南州
36,26.88,344.29,10.75,12.81,3998.93,72.75亿,27062.52,11608.0,2015,黄南州
37,27.15,427.9,13.22,15.76,4869.96,74.65亿,27499.45,12696.96,2016,黄南州
38,27.42,557.1,16.07,20.32,5860.6,79.01亿,28814.31,13937.99,2017,黄南州
39,27.68,672.71,19.52,24.3,7051.39,88.33亿,31908.25,15249.0,2018,黄南州
40,45.9,322.3,8.65,7.02,1884.53,130.72亿,28479.3,20568.0,2014,海南藏族自治州
41,46.4,476.0,13.09,10.26,2821.12,140.20亿,30215.52,13505.0,2015,海南藏族自治州
42,46.83,657.8,16.57,14.05,3538.33,152.68亿,32603.03,14784.0,2016,海南藏族自治州
43,47.24,779.0,20.67,16.49,4375.53,145.82亿,30867.91,16231.0,2017,海南藏族自治州
44,47.63,939.0,25.32,19.71,5315.98,158.18亿,33210.16,17737.0,2018,海南藏族自治州
45,19.42,28.35,1.69,1.46,870.43,340692万,17547.33,21637.95,2014,果洛藏族自治州
