2019-06-01
出库,20,21600,14,19900,08,17300,02,17000
入库,20,14900,14,15000,08,15300,02,16000
上游水位,20,  148.37,14,  148.66,08,  148.98,02,  149.08
下游水位,20,   66.88,14,   66.65,08,   65.45,02,   66.04
2019-06-02
出库,20,20200,14,17800,08,17100,02,16300
入库,20,14600,14,14000,08,14500,02,14500
上游水位,20,  147.83,14,  148.13,08,  148.33,02,  148.46
下游水位,20,   66.61,14,   66.34,08,   66.53,02,   66.16
2019-06-03
出库,20,20500,14,17800,08,16800,02,15500
入库,20,14200,14,14200,08,14200,02,13500
上游水位,20,  147.09,14,  147.44,08,  147.67,02,  147.89
下游水位,20,   66.84,14,   66.09,08,   66.25,02,   66.13
2019-06-04
出库,20,21200,14,16700,08,17200,02,14700
入库,20,14000,14,13500,08,13500,02,13200
上游水位,20,  146.33,14,  146.71,08,  146.97,02,  147.19
下游水位,20,   67.47,14,   66.51,08,   65.68,02,   66.57
2019-06-05
出库,20,21900,14,17600,08,17500,02,15400
入库,20,14500,14,14200,08,14000,02,14000
上游水位,20,  145.46,14,  145.87,08,  146.14,02,  146.45
下游水位,20,   67.57,14,   66.61,08,   66.18,02,   66.49
2019-06-06
出库,20,19200,14,17700,08,17900,02,16400
入库,20,17000,14,15200,08,15200,02,15100
上游水位,20,  144.94,14,  145.15,08,  145.35,02,  145.57
下游水位,20,   67.20,14,   66.16,08,   66.54,02,   66.67
2019-06-07
出库,20,16800,14,13800,08,14200,02,13500
入库,20,16500,14,16500,08,17000,02,17000
上游水位,20,  145.53,14,  145.55,08,  145.38,02,  145.29
下游水位,20,   64.94,14,   65.17,08,   65.67,02,   66.08
2019-06-08
出库,20,16900,14,13700,08,13900,02,13300
入库,20,14500,14,14500,08,15300,02,16100
上游水位,20,  145.73,14,  145.87,08,  145.81,02,  145.79
下游水位,20,   66.16,14,   65.60,08,   64.81,02,   65.09
2019-06-09
出库,20,15600,14,12700,08,13100,02,12400
入库,20,15800,14,15800,08,15500,02,14500
上游水位,20,  146.07,14,  146.06,08,  145.97,02,  145.96
下游水位,20,   65.04,14,   65.08,08,   65.75,02,   65.94
2019-06-10
出库
入库
上游水位
下游水位
